run,t,M1_gcm_aoi_dist,M2_angle_std,M3_defender_angle,sigmaR,muOmega,thetaOmega,clustered,anyWithin5,allBeyond20,defenderBetween,chosenBC
0,70,15.9592,0.0636997,2.73311,0.735467,0,0,1,0,0,0,10
0,71,15.5919,0.0750342,0.246269,0.858762,0,0,1,0,0,1,10
0,72,15.3876,0.0659245,3.12479,1.22141,0,0,1,0,0,0,10
0,73,15.184,0.077761,0.0160147,1.25552,0,0,1,0,0,1,3
0,74,14.9049,0.0649841,0.0121886,0.947561,0,0,1,0,0,1,5
0,75,14.9815,0.0667754,0.431376,0.76623,0,0,1,0,0,1,5
0,76,14.9522,0.0719252,0.00012907,0.810509,0,0,1,0,0,1,5
0,77,15.1678,0.0660052,0.201248,1.16703,0,0,1,0,0,1,6
0,78,15.2061,0.0493562,0.00636939,1.12072,0,0,1,0,0,1,3
0,79,15.3541,0.0703345,0.161108,0.91961,0,0,1,0,0,1,9
0,80,15.2547,0.0613708,0.0215637,1.08602,0,0,1,0,0,1,5
0,81,15.2818,0.0720603,0.0227158,1.03813,0,0,1,0,0,1,8
0,82,15.543,0.0729942,0.0715165,0.951221,0,0,1,0,0,1,6
0,83,15.655,0.0592145,1.24104,0.888348,0,0,1,0,0,1,9
0,84,15.6287,0.0582331,0.320414,1.06849,0,0,1,0,0,1,8
0,85,15.7242,0.0692709,0.0563017,1.04934,0,0,1,0,0,1,5
0,86,15.927,0.0636894,0.00228593,1.16414,0,0,1,0,0,1,9
0,87,16.0498,0.0619515,0.00310227,1.1493,0,0,1,0,0,1,2
0,88,16.0903,0.0565995,0.13478,0.915729,0,0,1,0,0,1,7
0,89,16.045,0.0665372,0.0432379,0.720652,0,0,1,0,0,1,5
0,90,15.8007,0.0906544,0.230212,0.875586,0,0,1,0,0,1,9
0,91,15.5502,0.0722065,0.217859,1.22043,0,0,1,0,0,1,2
0,92,15.4432,0.0454343,0.0181504,1.05821,0,0,1,0,0,1,1
0,93,15.2347,0.0595394,0.0220534,0.829722,0,0,1,0,0,1,8
0,94,14.9899,0.0748264,0.0338724,0.822011,0,0,1,0,0,1,8
0,95,14.5929,0.0844147,0.480678,1.14911,0,0,1,0,0,1,7
0,96,14.4895,0.0660742,0.277463,1.14702,0,0,1,0,0,1,9
0,97,14.3536,0.0462423,0.0291641,0.773031,0,0,1,0,0,1,1
0,98,14.2741,0.070308,0.0432229,1.00291,0,0,1,0,0,1,7
0,99,14.2966,0.0890224,0.144455,1.20352,0,0,1,0,0,1,8
0,100,14.0728,0.0612347,0.465509,1.02196,0,0,1,0,0,1,1
0,101,14.2252,0.0487515,0.0626919,0.917379,0,0,1,0,0,1,1
0,102,14.3206,0.0752504,0.598206,1.27611,0,0,1,0,0,1,8
0,103,14.1935,0.054136,0.609005,1.3666,0,0,1,0,0,1,2
0,104,13.8371,0.0617604,0.59621,0.868487,0,0,1,0,0,1,2
0,105,13.7551,0.0925818,0.0567438,0.769753,0,0,1,0,0,1,8
0,106,13.5762,0.101972,1.0593,0.849116,0,0,1,0,0,1,9
0,107,13.5653,0.0816754,0.592032,0.935109,0,0,1,0,0,1,10
0,108,13.7702,0.058244,0.0871076,0.905348,0,0,1,0,0,1,1
0,109,13.9231,0.0484455,0.855058,0.971605,0,0,1,0,0,1,1
0,110,13.8712,0.0808587,0.140857,1.10464,0,0,1,0,0,1,8
0,111,13.9295,0.0798521,0.814266,1.0531,0,0,1,0,0,1,8
0,112,13.9842,0.075016,0.815822,0.757049,0,0,1,0,0,1,2
0,113,14.2585,0.0515761,0.0670436,1.01841,0,0,1,0,0,1,1
0,114,14.429,0.0646478,1.07779,1.16377,0,0,1,0,0,1,1
0,115,14.6896,0.074537,0.301853,0.991854,0,0,1,0,0,1,8
0,116,14.9285,0.0674694,1.58832,1.0143,0,0,1,0,0,0,9
0,117,14.9559,0.0744646,0.19026,0.82735,0,0,1,0,0,1,9
0,118,15.1167,0.0642927,0.0144013,1.11613,0,0,1,0,0,1,5
0,119,15.2149,0.0585169,0.11257,1.19087,0,0,1,0,0,1,9
0,120,14.9714,0.0848268,0.18004,0.910955,0,0,1,0,0,1,7
0,121,14.7229,0.086538,0.00294902,0.971328,0,0,1,0,0,1,5
0,122,14.6,0.074611,0.191661,0.910711,0,0,1,0,0,1,9
0,123,14.6483,0.0672938,1.56448,0.909683,0,0,1,0,0,1,9
0,124,14.5334,0.0874447,0.240432,0.818833,0,0,1,0,0,1,10
0,125,14.6198,0.100756,0.0753966,0.805142,0,0,1,0,0,1,9
0,126,14.8864,0.0823942,0.0636826,0.816843,0,0,1,0,0,1,2
0,127,15.1294,0.074379,0.000782323,0.925136,0,0,1,0,0,1,5
0,128,15.3419,0.0535195,0.010836,0.846938,0,0,1,0,0,1,5
0,129,15.7049,0.0555856,0.036765,1.09971,0,0,1,0,0,1,2
0,130,15.9791,0.0617095,0.701474,1.06533,0,0,1,0,0,1,1
0,131,15.9954,0.0651491,0.0613328,1.00837,0,0,1,0,0,1,6
0,132,15.9799,0.0543868,0.0110852,0.98661,0,0,1,0,0,1,9
0,133,15.8617,0.0521344,0.0200324,0.809253,0,0,1,0,0,1,5
0,134,15.8156,0.0597935,0.239476,0.877338,0,0,1,0,0,1,9
0,135,15.8335,0.0678258,0.355631,1.09986,0,0,1,0,0,1,7
0,136,15.7324,0.0496542,0.0154659,1.3571,0,0,1,0,0,1,1
